CommentCount, AnswerCount,Tags,ViewCount,Score
1,3,<neural-networks><definitions>,133,5
0,2,<generalization>,40,6
0,,,,10
0,3,<deep-network><layers><neurons>,178,12
4,2,<mindstorms><python>,70,0
0,2,<intelligent-agent><philosophy>,36,2
5,6,<intelligent-agent>,110,6
0,,,,2
0,,,,6
0,3,<deep-network><fuzzy-logic>,142,10
0,,,,6
0,,,,7
1,1,<neural-networks><image-recognition>,26,2
0,,,,3
1,2,<turing-test><strong-ai><intelligent-agent><weak-ai>,98,13
0,1,<generalization><definitions>,56,4
2,3,<self-learning><singularity>,54,8
0,,,,2
0,,,,2
0,,,,2
0,0,<deep-network><overfitting><optimization>,8,0
2,,,,2
0,,,,2
2,,,,1
0,,,,2
0,5,<turing-test><emotional-intelligence>,183,10
0,,,,4
1,4,<self-learning><genetic-algorithms>,37,4
0,,,,0
0,,,,0
0,,,,4
0,,,,15
1,,,,1
0,5,<machine-learning><terminology>,82,7
0,3,<quantum-computing>,154,14
0,2,<genetic-algorithms><markov-chain><probabilistic>,36,4
1,,,,2
0,,,,5
0,1,<deep-network><overfitting><performance>,23,3
2,3,<intelligence-testing>,89,3
0,2,<hidden-layers><deep-layers>,26,1
0,,,,9
0,,,,4
3,,,,6
0,2,<history>,47,5
0,,,,2
0,,,,2
3,,,,2
0,1,<deep-network><generalization>,19,0
0,,,,2
2,1,<neural-networks>,42,2
0,,,,4
0,3,<game-theory><milestones>,65,3
0,,,,1
0,,,,2
0,,,,2
0,1,<history>,53,5
2,,,,0
0,3,<machine-learning><obstacles>,64,5
0,,,,2
0,,,,2
0,1,<deep-network><hidden-layers>,38,5
0,1,<history>,16,2
0,,,,6
0,,,,4
0,1,<sat><models>,18,1
2,2,<genetic-algorithms>,50,3
0,,,,5
4,3,<deep-network><neural-networks><image-recognition><conv-neural-network>,49,6
0,,,,5
0,,,,2
0,,,,7
0,2,<strong-ai><weak-ai><terminology>,157,15
0,1,<legal>,34,-3
0,,,,7
0,4,<history><programming-languages><lisp>,129,11
0,,,,1
0,2,<turing-test><evaluators>,31,5
0,2,<statistical-ai><induction>,30,2
1,0,<neural-networks><optimality-theory>,15,1
0,,,,2
0,2,<gaming><search><chess><heuristics>,28,4
0,,,,7
0,2,<neural-networks><deep-network><comparison>,189,6
0,,,,6
0,0,<pre-training><unsupervised-learning>,12,0
2,,,,3
1,1,<search>,50,6
1,4,<deep-network><image-recognition>,316,25
0,,,,12
0,1,<feedforward><fnn>,28,3
0,,,,5
3,2,<deep-network>,53,4
0,,,,11
0,,,,6
0,,,,4
0,,,,3
0,,,,1
0,1,<classical-ai><deductive>,27,1
0,2,<optimization><agi>,50,6
0,,,,5
0,,,,2
2,,,,1
3,2,<declarative-programming>,31,3
0,0,<gofai><rule-induction><symbolic-computing>,12,1
2,8,<algorithm><self-driving><decision-theory><ethics>,997,23
0,0,<deep-network><algorithm><self-driving>,21,0
0,1,<deep-network><neural-networks><machine-learning><hidden-layers>,29,6
1,,,,9
0,,,,2
0,,,,2
0,,,,7
0,2,<fuzzy-logic>,21,2
0,,,,3
0,2,<philosophy><incompleteness-theorems>,25,4
0,,,,2
0,,,,5
0,4,<philosophy><chinese-room>,79,7
0,,,,2
0,,,,2
0,,,,2
0,,,,4
1,,,,5
3,,,,4
0,1,<deep-belief-network><boltzmann-machine>,8,1
0,,,,6
0,,,,4
7,,,,16
0,,,,2
3,0,<neumann><cellular-automaton><efficiency><codi><snn>,34,0
0,,,,4
0,,,,3
0,,,,3
2,3,<philosophy><ultraintelligent-machine>,67,6
0,,,,13
0,,,,5
0,,,,2
0,,,,2
0,2,<models><agi>,26,3
0,1,<neural-networks><classical-ai><gofai><symbolic-computing>,8,1
1,2,<neural-networks><hypercomputation><recurrent-neural-networks>,50,0
5,2,<halting-problem><turing-machine>,90,8
4,,,,1
0,0,<conv-neural-network><deepdream>,7,0
0,2,<performance><neural-doodle><deepdreaming>,34,4
2,1,<neural-networks><unsupervised-learning>,64,4
0,3,<neural-networks><computing><math><spatial-cognition>,68,4
0,,,,2
0,1,<neural-networks><models>,38,6
0,1,<algorithm><natural-language><pattern-recognition>,22,3
0,,,,5
0,1,<conv-neural-network><media><deepdreaming>,21,1
0,0,<algorithm><deep-learning><computer-vision>,16,0
1,,,,8
0,,,,3
0,,,,1
0,,,,3
3,,,,1
0,,,,4
0,1,<conv-neural-network><deepdream><computer-vision><deepdreaming>,27,2
0,1,<quantum-computing><handwritten-characters><ocr>,31,1
0,,,,5
0,,,,4
0,3,<neural-networks><machine-learning><unsupervised-learning><self-learning>,20,0
1,,,,6
0,,,,6
0,,,,5
2,,,,4
0,,,,3
0,2,<emotional-intelligence><new-ai>,63,5
0,0,<algorithm><nlp><wordvector>,23,1
0,1,<neural-networks><hidden-layers>,34,7
7,,,,5
7,1,<knowledge-representation><time><embodied-cognition><grounded-cognition><emergence>,29,1
0,,,,2
5,2,<quantum-computing><halting-problem><strong-ai>,63,2
0,,,,1
1,,,,1
0,,,,10
0,,,,3
2,2,<history><turing-test><natural-language>,57,4
0,,,,1
0,,,,0
0,,,,0
3,,,,5
0,2,<agi>,20,2
2,2,<natural-language><research>,56,9
1,,,,2
0,,,,13
0,,,,3
0,2,<emotional-intelligence><chat-bots>,51,1
0,1,<algorithm><deep-learning>,79,2
0,,,,5
0,1,<neural-networks><natural-language><text-summarization>,17,2
0,,,,6
0,2,<export><storage>,18,0
8,1,<algorithm><natural-language><watson><lexical-recognition>,41,0
0,2,<algorithm><models><research><storage><lexical-recognition>,35,0
0,,,,0
2,0,<intelligence-testing>,17,0
0,,,,1
0,,,,4
2,,,,1
1,1,<nlp><lexical-recognition>,24,2
0,,,,1
3,1,<models><unsupervised-learning>,22,0
0,0,<research><ai-community>,21,1
0,,,,1
0,,,,3
3,1,<cyborg><transhuman>,28,4
4,2,<training><math><recurrent-neural-networks>,51,-5
5,,,,5
3,2,<comparison><mlp><rbf>,56,6
0,,,,3
5,,,,-4
0,,,,-1
0,,,,2
2,3,<neural-networks>,89,6
0,,,,3
0,,,,2
0,,,,7
4,1,<image-recognition><hardware>,39,2
0,,,,2
0,,,,3
1,5,<genetic-algorithms>,61,6
1,3,<natural-language><problem-solving><world-knowledge>,46,3
2,,,,4
0,,,,4
0,,,,2
0,,,,3
2,2,<neural-networks><machine-learning><backpropagation><learning-theory>,49,5
2,0,<deep-learning>,29,3
2,1,<image-recognition><unsupervised-learning>,29,2
0,,,,13
0,,,,0
0,,,,0
0,,,,3
0,,,,0
0,,,,0
0,,,,0
0,,,,0
0,1,<artificial-neuron>,14,1
0,,,,0
0,,,,0
0,,,,0
0,,,,0
0,,,,0
1,,,,0
0,,,,2
0,,,,2
0,,,,2
0,,,,0
0,,,,0
0,,,,5
0,,,,2
5,2,<research><signal-processing>,94,-1
0,,,,0
0,,,,0
0,,,,0
0,,,,0
0,,,,0
0,,,,0
0,,,,0
0,,,,0
0,,,,0
0,,,,0
0,1,<blockchain><decentralized-ai>,37,5
0,,,,1
3,,,,5
4,1,<neural-networks><history>,41,2
1,1,<ethics>,27,1
0,1,<neural-networks><deep-learning><research>,27,1
2,,,,3
2,,,,2
0,1,<neural-networks>,19,2
0,1,<neural-networks>,38,6
0,1,<genetic-algorithms>,12,2
0,2,<models><comparison><implementation>,31,2
2,,,,3
4,,,,5
0,,,,1
6,1,<deep-network><algorithm><image-recognition><face-recognition>,25,0
3,2,<neural-networks><programming-languages>,40,1
0,,,,4
4,1,<industry><applications><danger>,18,1
2,,,,2
2,0,<aviation>,18,1
0,,,,2
1,,,,5
0,,,,2
0,,,,4
1,3,<hardware><neuromorphic-computing>,55,2
1,,,,5
0,,,,3
0,,,,1
4,1,<self-driving><decision-theory>,165,1
0,,,,2
1,2,<gaming>,60,1
3,,,,2
1,,,,3
6,2,<neural-networks><training><optimization>,25,2
0,,,,5
0,,,,3
0,,,,2
0,,,,4
2,,,,4
0,,,,3
0,,,,0
0,,,,0
0,1,<ai-design><randomness>,16,2
0,2,<watson><storage>,24,0
0,2,<watson>,35,2
2,,,,3
0,,,,3
0,,,,3
0,,,,4
0,,,,0
0,,,,1
0,,,,3
0,,,,0
0,,,,0
0,,,,4
0,,,,0
0,,,,0
3,3,<asimovs-laws>,143,11
0,,,,0
0,,,,0
1,1,<image-recognition><research><ocr><captcha><obfuscation>,51,4
4,,,,9
0,,,,1
1,1,<emotional-intelligence><intelligence-testing>,35,7
3,1,<gaming><monte-carlo-search>,78,8
0,,,,5
2,1,<deep-network><machine-learning><music><sound>,61,5
0,,,,8
4,1,<neural-networks><backpropagation><gradient-descent>,40,4
1,3,<neural-networks>,54,7
0,,,,4
0,,,,5
0,,,,3
8,,,,1
0,,,,3
1,,,,3
0,,,,2
0,,,,3
0,,,,2
1,2,<ethics><decision-theory><robots>,32,1
0,,,,2
0,,,,2
1,1,<watson>,39,-2
0,,,,3
0,1,<algorithm>,39,2
0,,,,4
6,2,<deep-network><comparison><architecture>,59,2
1,,,,4
0,,,,3
0,,,,2
3,,,,-1
0,2,<deep-learning><research><prediction>,41,2
0,2,<neural-networks><topology>,41,6
1,1,<image-recognition><deep-learning><datasets><benchmarking>,31,0
1,0,<deep-network><image-recognition><self-driving><classification><cars>,85,1
0,2,<neuromorphic-computing>,54,2
0,,,,3
0,3,<ocr>,80,7
0,1,<history><intelligence-testing><turing-test><chat-bots>,88,8
0,,,,3
0,,,,6
0,,,,4
0,2,<friendly-ai>,35,2
0,,,,5
4,,,,4
0,1,<research><definitions><death>,488,3
0,,,,2
2,,,,10
1,,,,6
0,,,,4
0,,,,1
0,3,<machine-learning><classification><intelligence-testing>,35,4
0,,,,2
0,,,,5
0,,,,3
0,,,,2
0,1,<agi><gofai><embodied-cognition>,62,4
0,0,<algorithm><research><reinforcement-learning><data-efficiency>,13,2
0,,,,5
0,,,,4
0,,,,1
0,5,<research><agi><robots>,612,6
0,,,,17
0,,,,0
0,2,<multitasking><structured-data>,64,6
0,,,,1
0,1,<robots><multi-agent-systems>,41,4
0,1,<watson><healthcare>,10,0
0,,,,0
0,1,<sustainability><ecosystem><biology>,16,0
0,,,,0
1,1,<definitions><deep-blue>,38,-4
1,2,<research>,56,4
6,2,<research><ethics><social><reasoning>,46,-1
0,,,,0
1,1,<math>,28,3
0,,,,1
0,,,,3
1,,,,4
0,,,,5
0,,,,2
0,,,,3
0,,,,8
0,,,,4
0,,,,1
5,0,<gaming><search><minimax><game-theory>,51,3
0,,,,5
0,,,,3
0,,,,0
1,,,,4
0,0,<history><intelligence-testing>,110,13
0,,,,7
0,1,<conv-neural-network><classification><performance><real-time>,20,2
0,,,,2
0,,,,2
0,,,,2
0,3,<classification><datasets>,32,3
1,,,,3
1,,,,2
2,3,<emotional-intelligence><intelligence-testing><natural-language><applications>,120,10
2,4,<comparison><robots>,82,2
0,,,,5
0,,,,1
0,,,,4
0,,,,2
0,,,,5
0,,,,2
0,,,,0
4,,,,1
2,0,<machine-learning><nearest-neighbor><linear-regression><validation-set>,19,1
0,,,,0
0,,,,0
1,3,<philosophy><reinforcement-learning>,33,3
0,0,<cloud><distributed-computing>,22,0
2,2,<image-recognition><classification><conv-neural-network>,90,1
4,4,<neural-networks><deep-learning><conv-neural-network>,291,11
0,1,<deep-network><image-recognition><deep-learning><datasets>,84,-2
5,4,<image-recognition><training><action-recognition><subspace-analysis>,86,4
1,,,,0
0,,,,8
4,0,<datasets><lstm><text-generation>,20,1
0,1,<neural-networks><conv-neural-network><gaming>,26,0
0,,,,9
4,1,<neural-networks><applications>,40,1
3,3,<self-driving><cars>,144,4
0,,,,4
0,1,<agi><gaming>,16,0
0,0,<gaming><branching-factors><real-time>,16,1
0,1,<gaming><deepmind>,30,0
1,1,<conv-neural-network><facial-recognition>,24,1
3,2,<deep-learning><datasets><grammar-induction><pattern-languages><language-processing>,34,0
1,,,,2
1,,,,2
0,,,,2
0,,,,3
0,,,,2
0,,,,2
7,1,<ethics>,43,2
1,,,,0
0,,,,4
0,,,,0
0,,,,0
0,1,<definitions>,86,3
1,1,<neural-networks>,27,0
0,1,<genetic-programming><cyberterrorism><security>,25,1
0,,,,0
0,,,,0
0,,,,1
0,,,,2
0,,,,2
5,1,<comparison><intelligent-agent><definitions>,31,0
0,,,,9
0,1,<chess><deep-blue><challenges><game-theory>,61,2
0,1,<definitions><control-problem>,51,0
0,,,,2
2,,,,3
0,,,,2
0,,,,7
0,0,<neural-networks><comparison><recurrent-neural-networks><associative-memory>,77,8
1,,,,2
0,,,,3
0,,,,4
1,,,,2
5,,,,3
0,2,<history><programming-languages><prolog>,43,5
0,,,,4
0,,,,0
3,1,<gaming><comparison><monte-carlo-search>,58,4
6,2,<neural-networks>,44,2
3,,,,3
0,1,<research><algorithm><real-time><neural-doodle><texture-synthesis>,19,0
0,2,<neural-networks><comparison><backpropagation><evolutionary-algorithms>,35,5
4,1,<neural-networks><training><computer-programming>,35,0
1,3,<genetic-algorithms>,54,5
0,,,,0
0,,,,0
2,3,<human-inspired>,102,3
0,,,,4
0,,,,5
0,,,,5
0,,,,5
0,,,,0
0,,,,0
3,,,,2
1,,,,3
0,,,,5
0,,,,0
0,,,,0
0,,,,0
0,,,,0
0,,,,0
0,,,,0
11,1,<self-driving><cars><object-recognition>,60,-1
9,1,<self-driving><decision-theory><cars><object-recognition>,90,7
0,,,,3
0,,,,0
0,,,,0
0,,,,0
0,,,,0
6,1,<self-driving><cars>,35,1
2,3,<history><challenges><game-theory>,86,2
0,,,,0
9,0,<classification><keras>,38,4
3,,,,2
0,,,,0
0,,,,0
2,,,,7
1,,,,4
2,,,,0
4,,,,2
0,,,,2
0,,,,0
0,2,<chat-bots><language-processing>,37,4
0,,,,3
0,,,,0
0,,,,0
0,,,,5
0,,,,0
0,,,,0
0,,,,0
2,,,,0
2,,,,2
0,,,,3
2,,,,0
1,1,<self-driving><ai-design><high-level-design>,25,4
1,4,<philosophy><strong-ai><ai-design><human-inspired>,46,2
0,,,,1
0,,,,2
0,,,,3
0,,,,3
0,1,<neural-networks><implementation><computer-programming>,34,2
3,,,,4
0,0,<neural-networks><research><digital-security>,14,-1
0,1,<neural-networks><research><misbehaviour-detection>,26,3
0,1,<digital-security><learning-algorithms>,22,2
0,,,,0
0,,,,0
0,1,<neural-networks><implementation><computer-programming>,32,1
0,,,,6
0,,,,5
1,,,,2
0,,,,4
3,0,<intent><apis>,20,1
1,,,,0
1,0,<real-time><path-planning><robotics><navigation-systems>,22,1
0,1,<deep-learning><healthcare><learning-algorithms><biochemistry>,25,3
0,,,,2
0,,,,3
1,1,<emotional-intelligence>,48,2
1,1,<neural-networks><genetic-algorithms>,34,3
0,,,,1
6,0,<definitions>,35,-2
0,0,<neural-networks><research>,18,1
0,,,,5
0,,,,2
0,1,<history><turing-test><chat-bots>,29,1
0,,,,4
3,2,<turing-test><strong-ai><ai-design>,54,1
0,,,,6
0,1,<research><machine-learning><self-learning><language-processing>,27,1
0,,,,0
0,,,,0
3,3,<robotics><asimovs-laws>,74,3
0,,,,0
0,,,,0
0,,,,5
2,,,,5
0,,,,2
0,,,,3
0,0,<navigation-systems><uavs><communication-systems>,13,-1
2,0,<image-recognition><robots><gesture-recognition><posture-recognition><detecting-patterns>,23,1
0,,,,0
0,,,,0
1,2,<intelligence-testing>,49,6
2,,,,2
0,,,,0
0,,,,0
2,,,,2
0,,,,0
3,2,<machine-learning><hardware>,46,3
0,0,<robotics><nasa><darpa>,16,1
0,,,,0
0,,,,0
0,1,<neural-networks><neuromorphic-computing>,44,3
0,,,,3
2,,,,2
0,1,<watson>,39,2
0,,,,3
0,,,,0
0,,,,0
0,,,,0
0,,,,1
0,,,,1
0,,,,0
0,,,,0
0,,,,0
0,,,,0
0,,,,0
0,,,,0
3,0,<definitions><nlp><computational-linguistics>,15,3
0,,,,0
0,,,,0
0,,,,0
0,,,,0
0,,,,0
0,,,,0
0,1,<language-processing><nlp><structured-data><wit.ai><voice-recognition>,39,3
0,0,<social><scoring><big-data>,10,1
5,1,<image-recognition><classification><computer-vision>,40,-2
0,,,,1
2,1,<image-recognition><deep-learning><classification>,72,-1
0,,,,2
4,3,<image-recognition><classification><conv-neural-network>,123,4
0,,,,0
0,,,,0
1,1,<machine-learning><computer-programming>,109,5
2,,,,3
0,,,,3
0,,,,2
1,,,,5
0,,,,5
2,5,<emotional-intelligence>,130,9
1,1,<conv-neural-network><computer-vision><action-recognition>,109,3
1,,,,4
0,,,,5
0,,,,2
0,1,<algorithm><machine-learning><prediction>,92,6
0,1,<definitions><statistical-ai><srl>,50,5
0,,,,0
0,,,,5
5,,,,7
9,1,<neural-networks><deep-network><training>,49,1
2,,,,2
3,0,<research><machine-learning><neuromorphic-computing><computational-linguistics>,37,2
1,,,,2
1,,,,0
3,1,<history><turing-test><emotional-intelligence><chat-bots>,133,1
0,,,,2
0,,,,0
0,,,,0
8,,,,1
0,,,,0
0,,,,2
0,,,,2
1,,,,5
0,,,,1
0,,,,0
0,,,,1
1,1,<agi><legal>,72,8
3,1,<research><reinforcement-learning><control-problem><reference-request>,52,4
0,,,,1
1,,,,4
3,0,<chat-bots>,36,-2
2,,,,1
2,,,,1
4,0,<image-recognition><computer-vision><language-processing><voice-recognition>,16,0
0,,,,1
3,,,,2
0,1,<machine-learning><deep-learning>,105,0
3,,,,4
0,,,,1
0,,,,1
0,,,,0
0,,,,2
0,,,,1
0,,,,1
0,1,<research><image-recognition>,96,5
1,1,<definitions><optimization>,115,3
2,0,<neural-networks>,19,-1
0,,,,5
0,,,,0
0,,,,5
0,1,<definitions><models><intelligent-agent><reinforcement-learning>,53,1
0,,,,3
7,0,<image-recognition>,26,0
1,,,,-3
0,1,<research><implementation>,70,1
0,,,,1
0,,,,0
0,,,,0
0,,,,0
0,,,,0
23,11,<decision-theory><death>,17777,83
13,,,,71
3,,,,24
0,,,,0
0,,,,0
2,,,,4
0,2,<history>,63,4
0,1,<neural-networks><gofai><logic><thought-vectors>,103,1
5,,,,8
0,,,,1
0,,,,1
0,,,,1
1,,,,0
1,,,,6
6,1,<machine-learning><decision-theory><implementation>,83,2
3,1,<research><deep-learning><classification><language-processing><training>,29,1
0,,,,2
0,,,,1
0,,,,2
0,,,,8
6,,,,11
0,,,,0
0,,,,0
7,4,<ai-box>,99,3
0,,,,1
0,,,,0
0,,,,0
5,,,,1
0,,,,0
0,,,,0
0,,,,0
0,,,,0
0,,,,0
0,,,,0
2,,,,1
0,4,<nlp><deception><human-like>,110,4
2,,,,2
0,,,,1
1,1,<natural-language>,66,3
3,,,,4
1,,,,4
2,,,,0
1,,,,2
0,0,<gaming><monte-carlo-search>,26,4
0,,,,0
0,,,,0
1,,,,0
6,,,,2
0,,,,2
0,,,,1
2,,,,0
3,,,,3
0,2,<philosophy>,45,1
3,0,<chat-bots>,28,0
1,1,<neural-networks><machine-learning><agi><reinforcement-learning><knowledge-representation>,53,-1
0,,,,0
1,,,,2
0,,,,0
0,,,,0
0,,,,0
0,,,,-1
0,2,<neural-networks><human-like>,37,2
1,1,<computer-programming>,31,-4
0,,,,1
5,,,,1
0,2,<history>,31,1
0,,,,-1
4,,,,0
0,1,<machine-learning>,38,2
0,,,,2
0,,,,4
0,,,,1
0,,,,1
0,2,<terminology><cognitive-science>,9,0
0,,,,0
0,,,,0
0,,,,0
